datum,anti_inflammatory,analgesics,psycholeptics_drugs,antihistamines_obstructive_airway,Year,Month
2014-01-31,226.78000000000003,1030.13,404.0,160.2,2014,1
2014-02-28,259.3700000000001,1178.8999999999999,378.0,158.2,2014,2
2014-03-31,230.3900000000001,926.93,252.0,197.4,2014,3
2014-04-30,202.5750000000001,829.4,227.0,170.7,2014,4
2014-05-31,221.72300000000013,760.8800000000001,293.0,230.7,2014,5
2014-06-30,206.7800000000001,671.125,346.0,166.3,2014,6
2014-07-31,212.07000000000014,621.2,369.0,130.1,2014,7
2014-08-31,234.57000000000016,707.6499999999999,449.0,107.80000000000001,2014,8
2014-09-30,217.87400000000014,1009.92,413.0,173.8,2014,9
2014-10-31,339.9910000000001,2048.4149999999995,502.0,256.5,2014,10
2014-11-30,238.94000000000008,866.5,508.0,157.2,2014,11
2014-12-31,253.30100000000007,1126.7839999999999,517.0,196.4,2014,12
2015-01-31,266.2590000000001,1185.2400000000002,487.0,219.25,2015,1
2015-02-28,239.44999999999996,1085.0819999999999,252.0,255.0,2015,2
2015-03-31,285.42600000000004,1218.6499999999999,221.0,249.0,2015,3
2015-04-30,255.615,1062.27,197.0,209.0,2015,4
2015-05-31,279.13700000000006,901.94,204.0,259.5,2015,5
2015-06-30,265.56000000000006,892.248,229.0,318.79999999999995,2015,6
2015-07-31,289.4200000000001,834.3280000000001,209.0,190.3,2015,7
2015-08-31,326.20900000000006,924.188,280.5,128.7,2015,8
2015-09-30,300.3420000000001,962.525,254.5,162.0,2015,9
2015-10-31,323.0410000000001,1720.5350000000008,230.0,256.0,2015,10
2015-11-30,281.01300000000003,1423.625,246.0,239.0,2015,11
2015-12-31,290.7510000000001,1395.3490000000002,314.0,272.73,2015,12
2016-01-31,300.052,1648.8240000000003,272.0,230.5,2016,1
2016-02-29,311.338,1359.0620000000004,259.0,303.0,2016,2
2016-03-31,337.22900000000016,1299.1000000000006,263.0,350.84000000000003,2016,3
2016-04-30,313.1360000000002,1146.0370000000005,336.0,378.4,2016,4
2016-05-31,288.221,1127.7000000000003,293.0,268.1,2016,5
2016-06-30,284.63100000000003,877.8,331.0,261.8,2016,6
2016-07-31,344.9890000000002,790.2619999999998,248.0,225.82999999999998,2016,7
2016-08-31,325.5050000000001,885.7500000000002,287.5,201.3,2016,8
2016-09-30,299.178,1235.3990000000001,325.0,190.3,2016,9
2016-10-31,328.8160000000002,1777.425000000001,323.0,280.9,2016,10
2016-11-30,292.0300000000001,1196.5360000000005,273.0,201.2,2016,11
2016-12-31,304.3760000000001,1756.7350000000006,275.0,309.9,2016,12
2017-01-31,332.893333333,1630.630833333,477.91666665,258.156250003,2017,1
2017-02-28,243.20700000000002,623.3500000000001,151.0,147.6,2017,2
2017-03-31,273.90500000000003,719.8500000000003,174.0,239.1,2017,3
2017-04-30,256.82500000000005,640.6999999999998,141.0,331.4,2017,4
2017-05-31,261.7850000000001,646.8899999999999,171.0,289.81,2017,5
2017-06-30,225.336,615.7,171.0,314.9,2017,6
2017-07-31,275.87600000000003,554.55,234.0,196.1,2017,7
2017-08-31,282.62,633.6999999999999,251.0,135.1,2017,8
2017-09-30,257.04100000000005,951.9000000000002,246.0,205.9,2017,9
2017-10-31,226.37699999999998,1284.7500000000005,241.0,298.0,2017,10
2017-11-30,283.6300000000001,972.3490000000002,207.0,242.6,2017,11
2017-12-31,281.67300000000006,1122.33,232.0,251.1,2017,12
2018-01-31,241.726,1235.4750000000001,240.0,268.5,2018,1
2018-02-28,261.16400000000016,1370.0240000000008,280.0,292.06,2018,2
2018-03-31,257.924,1121.4230000000005,423.0,354.5,2018,3
2018-04-30,277.74300000000005,920.637,310.0,426.1,2018,4
2018-05-31,264.04200000000003,734.0480000000003,272.0,405.03999999999996,2018,5
2018-06-30,255.40600000000006,671.143,266.0,221.8,2018,6
2018-07-31,282.72900000000004,766.55,302.0,212.2,2018,7
2018-08-31,254.71900000000005,822.088,273.0,262.1,2018,8
2018-09-30,268.51200000000006,1144.7620000000002,275.0,293.1,2018,9
2018-10-31,274.1100000000001,1205.325,312.0,429.9,2018,10
2018-11-30,277.7770000000001,1097.3,274.2,359.4,2018,11
2018-12-31,260.73400000000015,1298.7,281.0,437.1,2018,12
2019-01-31,402.0510000000003,1760.3120000000013,318.2,427.3,2019,1
2019-02-28,275.88500000000016,1111.4120000000005,261.4,295.5,2019,2
2019-03-31,267.6380000000001,1024.3999999999999,320.4,426.5,2019,3
2019-04-30,261.55500000000006,735.7500000000002,321.4,438.1,2019,4
2019-05-31,265.2980000000001,807.6620000000001,291.79999999999995,457.4,2019,5
2019-06-30,253.16700000000014,713.1999999999999,218.0,298.03999999999996,2019,6
2019-07-31,284.54100000000005,742.5999999999999,270.6,220.2,2019,7
2019-08-31,270.1790000000001,602.3,263.0,242.3,2019,8
2019-09-30,272.5070000000001,1077.98,243.8,270.1,2019,9
2019-10-31,81.67,315.8,93.0,48.13,2019,10
